project,age,firstAppeared,firstAppearedIndex,lastDetected,lastDetectedIndex,smellType,uniqueSmellID,version,versionIndex,versionDate,smellIdInVersion,affectedClassesRatio,affectedComponentType,affectedDesignLevel,afferentAffectedRatio,avrgEdgeWeight,avrgInternalPathLength,avrgNumOfChanges,efferentAffectedRatio,instabilityGap,numOfEdges,numOfInheritanceEdges,numOfPrivateUseEdges,numOfPublicUseEdges,overlapRatio,overlapRatiocyclicDep,overlapRatiounstableDep,pageRankAvrg,pageRankMax,parentCentrality,shape,size,strength,affectedElements
antlr,11,2.4.0,1,2.7.7,11,unstableDep,1,2.4.0,1,,1353,NA,package,NA,NA,NA,NA,0,NA,-0.39010989010989017,14,NA,NA,NA,1.0,1.0,NA,0.04466504495050273,0.053564045200250085,NA,NA,2,0.5,"[antlr, antlr.collections.impl]"
antlr,11,2.4.0,1,2.7.7,11,unstableDep,1,2.7.5,9,,5741,NA,package,NA,NA,NA,NA,0,NA,-0.5261519302615193,80,NA,NA,NA,1.0,1.0,NA,0.0313168479794101,0.03169487039060218,NA,NA,2,0.2,"[antlr, antlr.collections.impl]"
antlr,11,2.4.0,1,2.7.7,11,unstableDep,1,2.7.0,4,,1550,NA,package,NA,NA,NA,NA,0,NA,-0.4411764705882353,22,NA,NA,NA,1.0,1.0,NA,0.03286640259554294,0.03486934316248688,NA,NA,2,0.25,"[antlr, antlr.collections.impl]"
antlr,11,2.4.0,1,2.7.7,11,unstableDep,1,2.6.0,3,,1269,NA,package,NA,NA,NA,NA,0,NA,-0.49583333333333335,20,NA,NA,NA,1.0,1.0,NA,0.05623712409399881,0.06593817420051573,NA,NA,2,0.5,"[antlr, antlr.collections.impl]"
antlr,11,2.4.0,1,2.7.7,11,unstableDep,1,2.7.1,5,,1695,NA,package,NA,NA,NA,NA,0,NA,-0.3578431372549019,22,NA,NA,NA,1.0,1.0,NA,0.027325743918134415,0.027904527644544902,NA,NA,2,0.2,"[antlr, antlr.collections.impl]"
antlr,11,2.4.0,1,2.7.7,11,unstableDep,1,2.7.6,10,,5596,NA,package,NA,NA,NA,NA,0,NA,-0.541958041958042,80,NA,NA,NA,1.0,1.0,NA,0.029620051308256633,0.029634191645971662,NA,NA,2,0.2,"[antlr, antlr.collections.impl]"
antlr,11,2.4.0,1,2.7.7,11,unstableDep,1,2.7.7,11,,5600,NA,package,NA,NA,NA,NA,0,NA,-0.541958041958042,80,NA,NA,NA,1.0,1.0,NA,0.02962005130825663,0.029634191645971662,NA,NA,2,0.2,"[antlr, antlr.collections.impl]"
antlr,11,2.4.0,1,2.7.7,11,unstableDep,1,2.5.0,2,,1363,NA,package,NA,NA,NA,NA,0,NA,-0.39010989010989017,14,NA,NA,NA,1.0,1.0,NA,0.043950622404020506,0.05270728151603811,NA,NA,2,0.5,"[antlr, antlr.collections.impl]"
antlr,11,2.4.0,1,2.7.7,11,unstableDep,1,2.7.4,8,,5472,NA,package,NA,NA,NA,NA,0,NA,-0.526610644257703,78,NA,NA,NA,1.0,1.0,NA,0.029305168571780508,0.02940604345677211,NA,NA,2,0.2,"[antlr, antlr.collections.impl]"
antlr,11,2.4.0,1,2.7.7,11,unstableDep,1,2.7.2,6,,4745,NA,package,NA,NA,NA,NA,0,NA,-0.540983606557377,76,NA,NA,NA,1.0,1.0,NA,0.025073574316765296,0.025922005872446044,NA,NA,2,0.2,"[antlr, antlr.collections.impl]"
antlr,11,2.4.0,1,2.7.7,11,unstableDep,1,2.7.3,7,,5470,NA,package,NA,NA,NA,NA,0,NA,-0.526610644257703,78,NA,NA,NA,1.0,1.0,NA,0.029305168571780525,0.029406043456772137,NA,NA,2,0.2,"[antlr, antlr.collections.impl]"
antlr,1,3.5,21,3.5,21,cyclicDep,934,3.5,21,,22693,NA,class,designOnly,NA,7.909090909090909,NA,0,NA,NA,174,5,0,0,1.0,NA,NA,0.0028221731464907283,0.007819227149510128,0,unclassified,6,NA,"[org.antlr.tool.Attribute, org.antlr.tool.AttributeScope, org.antlr.tool.ErrorManager, org.antlr.tool.Grammar, org.antlr.tool.GrammarSyntaxMessage, org.antlr.tool.NameSpaceChecker]"
antlr,2,3.1,14,3.1.1,15,cyclicDep,349,3.1,14,,14487,NA,class,designOnly,NA,7.75,NA,0,NA,NA,806,12,0,0,1.0,NA,NA,0.005248382924273946,0.018369368971469856,0,unclassified,13,NA,"[org.antlr.analysis.DFA, org.antlr.analysis.DFAState, org.antlr.analysis.DecisionProbe, org.antlr.analysis.NFAState, org.antlr.codegen.ACyclicDFACodeGenerator, org.antlr.codegen.CodeGenerator, org.antlr.misc.BitSet, org.antlr.misc.IntervalSet, org.antlr.tool.AttributeScope, org.antlr.tool.ErrorManager, org.antlr.tool.Grammar, org.antlr.tool.GrammarAST, org.antlr.tool.NameSpaceChecker]"
antlr,2,3.1,14,3.1.1,15,cyclicDep,349,3.1.1,15,,14487,NA,class,designOnly,NA,7.75,NA,0,NA,NA,806,12,0,0,1.0,NA,NA,0.005248879087697193,0.018369697687246472,0,unclassified,13,NA,"[org.antlr.analysis.DFA, org.antlr.analysis.DFAState, org.antlr.analysis.DecisionProbe, org.antlr.analysis.NFAState, org.antlr.codegen.ACyclicDFACodeGenerator, org.antlr.codegen.CodeGenerator, org.antlr.misc.BitSet, org.antlr.misc.IntervalSet, org.antlr.tool.AttributeScope, org.antlr.tool.ErrorManager, org.antlr.tool.Grammar, org.antlr.tool.GrammarAST, org.antlr.tool.NameSpaceChecker]"
antlr,1,3.1.2,16,3.1.2,16,cyclicDep,364,3.1.2,16,,6943,NA,class,designOnly,NA,6.0344827586206895,NA,0,NA,NA,352,8,0,0,1.0,NA,NA,0.02130448328523601,0.06926066335700472,0,unclassified,11,NA,"[org.antlr.analysis.DFA, org.antlr.analysis.Label, org.antlr.analysis.NFA, org.antlr.grammar.v2.AssignTokenTypesWalker, org.antlr.misc.IntervalSet, org.antlr.tool.AssignTokenTypesBehavior, org.antlr.tool.CompositeGrammar, org.antlr.tool.ErrorManager, org.antlr.tool.FASerializer, org.antlr.tool.Grammar, org.antlr.tool.GrammarNonDeterminismMessage]"
antlr,1,4.0,22,4.0,22,cyclicDep,1075,4.0,22,,16934,NA,class,designOnly,NA,2.5,NA,0,NA,NA,20,0,0,0,1.0,NA,NA,8.565017254033629E-4,0.0015052826016901592,0,unclassified,3,NA,"[org.antlr.v4.Tool, org.antlr.v4.semantics.SemanticPipeline, org.antlr.v4.semantics.SymbolChecks]"
antlr,3,2.7.3,7,2.7.5,9,cyclicDep,40,2.7.4,8,,5018,NA,class,designOnly,NA,17.333333333333332,NA,0,NA,NA,418,12,0,0,1.0,NA,NA,0.008688953105243057,0.018976105435580252,0,unclassified,5,NA,"[antlr.CodeGenerator, antlr.DefineGrammarSymbols, antlr.Grammar, antlr.MakeGrammar, antlr.Tool]"
antlr,3,2.7.3,7,2.7.5,9,cyclicDep,40,2.7.5,9,,5261,NA,class,designOnly,NA,17.333333333333332,NA,0,NA,NA,418,13,0,0,1.0,NA,NA,0.008665553325591376,0.018829908969449746,0,unclassified,5,NA,"[antlr.CodeGenerator, antlr.DefineGrammarSymbols, antlr.Grammar, antlr.MakeGrammar, antlr.Tool]"
antlr,3,2.7.3,7,2.7.5,9,cyclicDep,40,2.7.3,7,,5016,NA,class,designOnly,NA,17.333333333333332,NA,0,NA,NA,418,12,0,0,1.0,NA,NA,0.008687073865907185,0.018959980471910946,0,unclassified,5,NA,"[antlr.CodeGenerator, antlr.DefineGrammarSymbols, antlr.Grammar, antlr.MakeGrammar, antlr.Tool]"
antlr,1,3.4,20,3.4,20,cyclicDep,837,3.4,20,,21892,NA,class,designOnly,NA,6.75,NA,0,NA,NA,328,9,0,0,1.0,NA,NA,0.001282303130670309,0.0020195360357475613,0,unclassified,8,NA,"[org.antlr.analysis.DFA, org.antlr.analysis.DFAState, org.antlr.analysis.NFAToDFAConverter, org.antlr.analysis.SemanticContext, org.antlr.analysis.SemanticContext$Predicate, org.antlr.analysis.SemanticContext$TruePredicate, org.antlr.codegen.ACyclicDFACodeGenerator, org.antlr.codegen.CodeGenerator]"
