project,age,firstAppeared,firstAppearedIndex,lastDetected,lastDetectedIndex,smellType,uniqueSmellID,version,versionIndex,versionDate,smellIdInVersion,affectedComponentType,affectedDesignLevel,avrgEdgeWeight,avrgNumOfChanges,instabilityGap,numOfEdges,numOfInheritanceEdges,numOfPrivateUseEdges,numOfPublicUseEdges,overlapRatio,overlapRatiocyclicDep,pageRankAvrg,pageRankMax,parentCentrality,shape,size,strength,affectedElements
pyne,6,2-25227a5f0246a661d2a4e39aeb4316479ddac566,2,7-072567a0f448c891053d2c418596c200827a895f,7,cyclicDep,1,5-b500f4604b6e6b2d5f6c65d59cbc795bfe1f161d,5,11-10-2019,5319,package,architecturalOnly,1.0,0,NA,8,0,0,0,1.0,NA,0.05644767696034304,0.07119476972992786,0,chain,3,NA,"[edu.rug.pyne.api.parser, edu.rug.pyne.api.parser.analysisprocessor, edu.rug.pyne.api.parser.removeprocessor]"
pyne,6,2-25227a5f0246a661d2a4e39aeb4316479ddac566,2,7-072567a0f448c891053d2c418596c200827a895f,7,cyclicDep,1,2-25227a5f0246a661d2a4e39aeb4316479ddac566,2,5-6-2019,1731,package,architecturalOnly,1.0,0,NA,8,0,0,0,1.0,NA,0.05360547139824665,0.061220497195485765,0,chain,3,NA,"[edu.rug.pyne.api.parser, edu.rug.pyne.api.parser.analysisprocessor, edu.rug.pyne.api.parser.removeprocessor]"
pyne,6,2-25227a5f0246a661d2a4e39aeb4316479ddac566,2,7-072567a0f448c891053d2c418596c200827a895f,7,cyclicDep,1,6-54366e87751c20c50eced0ae17ce0364388820ff,6,12-11-2019,6434,package,architecturalOnly,1.0,0,NA,8,0,0,0,1.0,NA,0.05644767696034306,0.07119476972992787,0,chain,3,NA,"[edu.rug.pyne.api.parser, edu.rug.pyne.api.parser.analysisprocessor, edu.rug.pyne.api.parser.removeprocessor]"
pyne,6,2-25227a5f0246a661d2a4e39aeb4316479ddac566,2,7-072567a0f448c891053d2c418596c200827a895f,7,cyclicDep,1,3-9b56310796d3924587bdd2e8fcc698e23225ae24,3,27-6-2019,3166,package,architecturalOnly,1.0,0,NA,8,0,0,0,1.0,NA,0.05644767696034304,0.07119476972992786,0,chain,3,NA,"[edu.rug.pyne.api.parser, edu.rug.pyne.api.parser.analysisprocessor, edu.rug.pyne.api.parser.removeprocessor]"
pyne,6,2-25227a5f0246a661d2a4e39aeb4316479ddac566,2,7-072567a0f448c891053d2c418596c200827a895f,7,cyclicDep,1,7-072567a0f448c891053d2c418596c200827a895f,7,27-11-2019,7487,package,architecturalOnly,1.0,0,NA,8,0,0,0,1.0,NA,0.056447676960343064,0.07119476972992789,0,chain,3,NA,"[edu.rug.pyne.api.parser, edu.rug.pyne.api.parser.analysisprocessor, edu.rug.pyne.api.parser.removeprocessor]"
pyne,6,2-25227a5f0246a661d2a4e39aeb4316479ddac566,2,7-072567a0f448c891053d2c418596c200827a895f,7,cyclicDep,1,4-a0723c8a3cefc206a7ccb15d9de1e2bf399fcff9,4,28-7-2019,4290,package,architecturalOnly,1.0,0,NA,8,0,0,0,1.0,NA,0.05644767696034306,0.07119476972992787,0,chain,3,NA,"[edu.rug.pyne.api.parser, edu.rug.pyne.api.parser.analysisprocessor, edu.rug.pyne.api.parser.removeprocessor]"
pyne,6,2-25227a5f0246a661d2a4e39aeb4316479ddac566,2,7-072567a0f448c891053d2c418596c200827a895f,7,unstableDep,2,5-b500f4604b6e6b2d5f6c65d59cbc795bfe1f161d,5,11-10-2019,5356,package,NA,NA,0,-0.18138406396470919,10,NA,NA,NA,0.75,0.75,0.05644767696034304,0.07119476972992786,NA,NA,4,0.07,"[edu.rug.pyne.api.parser, edu.rug.pyne.api.parser.analysisprocessor, edu.rug.pyne.api.parser.removeprocessor, edu.rug.pyne.api.parser.structureprocessor]"
pyne,6,2-25227a5f0246a661d2a4e39aeb4316479ddac566,2,7-072567a0f448c891053d2c418596c200827a895f,7,unstableDep,2,2-25227a5f0246a661d2a4e39aeb4316479ddac566,2,5-6-2019,1761,package,NA,NA,0,-0.043228418440642624,10,NA,NA,NA,0.75,0.75,0.05360547139824665,0.061220497195485765,NA,NA,4,0.33,"[edu.rug.pyne.api.parser, edu.rug.pyne.api.parser.analysisprocessor, edu.rug.pyne.api.parser.removeprocessor, edu.rug.pyne.api.parser.structureprocessor]"
pyne,6,2-25227a5f0246a661d2a4e39aeb4316479ddac566,2,7-072567a0f448c891053d2c418596c200827a895f,7,unstableDep,2,6-54366e87751c20c50eced0ae17ce0364388820ff,6,12-11-2019,6464,package,NA,NA,0,-0.13493245106148344,10,NA,NA,NA,0.75,0.75,0.05644767696034306,0.07119476972992787,NA,NA,4,0.05,"[edu.rug.pyne.api.parser, edu.rug.pyne.api.parser.analysisprocessor, edu.rug.pyne.api.parser.removeprocessor, edu.rug.pyne.api.parser.structureprocessor]"
pyne,6,2-25227a5f0246a661d2a4e39aeb4316479ddac566,2,7-072567a0f448c891053d2c418596c200827a895f,7,unstableDep,2,3-9b56310796d3924587bdd2e8fcc698e23225ae24,3,27-6-2019,3203,package,NA,NA,0,-0.19883482576329714,10,NA,NA,NA,0.75,0.75,0.05644767696034304,0.07119476972992786,NA,NA,4,0.16,"[edu.rug.pyne.api.parser, edu.rug.pyne.api.parser.analysisprocessor, edu.rug.pyne.api.parser.removeprocessor, edu.rug.pyne.api.parser.structureprocessor]"
