name,type,version,affectedByUniqueSmellId
antlr,package,2.6.0,1
antlr,package,2.7.0,3
antlr,package,2.7.7,27
antlr,package,3.1.1,248
antlr,package,3.4,544
antlr,package,3.3,609
antlr,package,2.5.0,1
antlr,package,3.2,491
antlr,package,3.2,609
antlr,package,3.5,491
antlr,package,3.1.3,534
antlr,package,3.1.1,278
antlr,package,2.4.0,1
antlr,package,2.7.5,70
antlr,package,2.7.1,1
antlr,package,3.3,491
antlr,package,3.1.1,283
antlr,package,2.7.7,1
antlr,package,2.7.4,70
antlr,package,3.5,544
antlr,package,3.1.3,609
antlr,package,2.7.2,14
antlr,package,3.2,544
antlr,package,3.1,278
antlr,package,3.5,609
antlr,package,3.4,501
antlr,package,2.6.0,3
antlr,package,2.7.5,14
antlr,package,2.7.5,1
antlr,package,2.7.3,14
antlr,package,2.7.4,14
antlr,package,2.7.5,27
antlr,package,2.7.0,1
antlr,package,3.2,501
antlr,package,2.7.3,27
antlr,package,2.7.6,14
antlr,package,2.7.2,27
antlr,package,2.7.6,1
antlr,package,3.1.3,501
antlr,package,2.5.0,3
antlr,package,3.2,534
antlr,package,3.1,272
antlr,package,3.3,501
antlr,package,2.7.1,3
antlr,package,2.4.0,3
antlr,package,3.5,501
antlr,package,2.7.4,1
antlr,package,3.1.1,272
antlr,package,3.1.1,221
antlr,package,2.7.7,14
antlr,package,3.4,609
antlr,package,2.7.7,70
antlr,package,3.1.3,491
antlr,package,3.3,534
antlr,package,2.7.6,27
antlr,package,2.7.3,1
antlr,package,2.7.3,70
antlr,package,3.1,221
antlr,package,2.7.6,70
antlr,package,3.3,544
antlr,package,2.7.4,27
antlr,package,3.1,283
antlr,package,2.7.2,1
antlr,package,3.1,248
antlr,package,3.1.3,544
antlr,package,3.4,491
antlr.collections.impl,package,2.5.0,3
antlr.collections.impl,package,3.1,248
antlr.collections.impl,package,3.1,272
antlr.collections.impl,package,3.3,501
antlr.collections.impl,package,3.5,609
antlr.collections.impl,package,3.5,501
antlr.collections.impl,package,2.7.0,3
antlr.collections.impl,package,2.4.0,3
antlr.collections.impl,package,2.7.6,1
antlr.collections.impl,package,3.3,609
antlr.collections.impl,package,2.7.4,1
antlr.collections.impl,package,2.7.2,1
antlr.collections.impl,package,2.7.7,27
antlr.collections.impl,package,3.2,609
antlr.collections.impl,package,2.7.4,70
antlr.collections.impl,package,3.2,491
antlr.collections.impl,package,2.7.1,1
antlr.collections.impl,package,2.7.3,27
antlr.collections.impl,package,3.3,491
antlr.collections.impl,package,2.5.0,1
antlr.collections.impl,package,2.7.7,1
antlr.collections.impl,package,3.1.1,283
antlr.collections.impl,package,2.7.6,70
antlr.collections.impl,package,3.1,283
antlr.collections.impl,package,3.1.1,272
antlr.collections.impl,package,3.4,609
antlr.collections.impl,package,2.4.0,1
antlr.collections.impl,package,2.7.5,70
antlr.collections.impl,package,2.7.0,1
antlr.collections.impl,package,3.1.3,609
antlr.collections.impl,package,3.4,501
antlr.collections.impl,package,2.6.0,3
antlr.collections.impl,package,2.7.3,70
antlr.collections.impl,package,2.7.3,1
antlr.collections.impl,package,2.7.5,1
antlr.collections.impl,package,2.7.6,27
antlr.collections.impl,package,2.7.5,27
antlr.collections.impl,package,2.6.0,1
antlr.collections.impl,package,2.7.1,3
antlr.collections.impl,package,3.2,501
antlr.collections.impl,package,3.1.1,248
antlr.collections.impl,package,3.5,491
antlr.collections.impl,package,3.1.3,491
antlr.collections.impl,package,2.7.2,27
antlr.collections.impl,package,3.4,491
antlr.collections.impl,package,2.7.4,27
antlr.collections.impl,package,2.7.7,70
antlr.collections.impl,package,3.1.3,501
antlr.ANTLRHashString,class,2.6.0,2
antlr.ANTLRHashString,class,3.1.3,522
antlr.ANTLRHashString,class,2.4.0,2
antlr.ANTLRHashString,class,2.7.6,2
antlr.ANTLRHashString,class,2.7.3,2
antlr.ANTLRHashString,class,2.7.0,2
antlr.ANTLRHashString,class,3.2,522
antlr.ANTLRHashString,class,3.4,522
antlr.ANTLRHashString,class,3.1,296
antlr.ANTLRHashString,class,3.1.1,296
antlr.ANTLRHashString,class,2.7.4,2
antlr.ANTLRHashString,class,3.3,522
antlr.ANTLRHashString,class,3.5,522
antlr.ANTLRHashString,class,2.5.0,2
antlr.ANTLRHashString,class,2.7.5,2
antlr.ANTLRHashString,class,2.7.7,2
antlr.ANTLRHashString,class,2.7.2,2
antlr.ANTLRHashString,class,2.7.1,2
antlr.CharScanner,class,2.7.0,2
antlr.CharScanner,class,3.1,296
antlr.CharScanner,class,3.1.1,296
antlr.CharScanner,class,2.7.7,2
antlr.CharScanner,class,2.7.2,2
antlr.CharScanner,class,2.7.4,2
antlr.CharScanner,class,3.3,522
antlr.CharScanner,class,3.5,522
antlr.CharScanner,class,2.7.5,2
